seed,lr,lam_att,best_epoch,val_P,val_R,val_F1,val_attn_iou
18,0.001,0.5,130,0.63,0.9,0.7411764705882353,0.5192815636555732
18,0.001,0.7,130,0.7159090909090909,0.9,0.7974683544303798,0.758028545941124
18,0.001,1.0,115,0.7160493827160493,0.8285714285714286,0.7682119205298013,0.7747136661848104
18,0.001,3,140,0.8026315789473685,0.8714285714285714,0.8356164383561644,0.8350022758306782
18,0.001,5,145,0.8181818181818182,0.9,0.8571428571428572,0.8270386752863785
18,0.001,7,145,0.8493150684931506,0.8857142857142857,0.8671328671328671,0.8508060033351862
18,0.001,10,90,0.810126582278481,0.9142857142857143,0.8590604026845637,0.7826616587148513
19,0.0002,0.1,135,0.875,0.8860759493670886,0.8805031446540881,0.5700725255972696
19,0.0002,0.3,145,0.8390804597701149,0.9240506329113924,0.8795180722891567,0.7125595445567561
19,0.0002,0.5,100,0.8571428571428571,0.9113924050632911,0.8834355828220858,0.6762390980642417
19,0.0002,0.7,140,0.7575757575757576,0.9493670886075949,0.8426966292134831,0.8019329164297897
19,0.0002,1.0,100,0.8131868131868132,0.9367088607594937,0.8705882352941177,0.7451002734731085
19,0.0002,3,145,0.8235294117647058,0.8860759493670886,0.8536585365853657,0.8270613614573347
19,0.0002,5,135,0.7894736842105263,0.9493670886075949,0.8620689655172414,0.8795681063122923
19,0.0002,7,150,0.7731958762886598,0.9493670886075949,0.8522727272727272,0.9050895717166924
19,0.0002,10,150,0.7551020408163265,0.9367088607594937,0.8361581920903955,0.8652408876624124
19,0.0005,0.1,145,0.7628865979381443,0.9367088607594937,0.8409090909090907,0.6033930478111282
19,0.0005,0.3,135,0.7894736842105263,0.9493670886075949,0.8620689655172414,0.7684637681159421
19,0.0005,0.5,140,0.8409090909090909,0.9367088607594937,0.8862275449101796,0.7569835159411706
19,0.0005,0.7,105,0.8152173913043478,0.9493670886075949,0.8771929824561402,0.8093417751762035
19,0.0005,1.0,140,0.8426966292134831,0.9493670886075949,0.8928571428571428,0.8810201660735468
19,0.0005,3,140,0.8620689655172413,0.9493670886075949,0.9036144578313253,0.8499886441062912
19,0.0005,5,140,0.8152173913043478,0.9493670886075949,0.8771929824561402,0.8748481166464156
19,0.0005,7,150,0.7254901960784313,0.9367088607594937,0.8176795580110497,0.9033317120622568
19,0.0005,10,110,0.776595744680851,0.9240506329113924,0.8439306358381502,0.9398232231505025
19,0.001,0.1,130,0.7373737373737373,0.9240506329113924,0.8202247191011236,0.6218731820826061
19,0.001,0.3,140,0.7525773195876289,0.9240506329113924,0.8295454545454545,0.7509488725161867
19,0.001,0.5,140,0.7524752475247525,0.9620253164556962,0.8444444444444444,0.7751243781094528
19,0.001,0.7,150,0.891566265060241,0.9367088607594937,0.9135802469135801,0.8981610800744879
19,0.001,1.0,135,0.7731958762886598,0.9493670886075949,0.8522727272727272,0.894345059430904
19,0.001,3,90,0.75,0.9113924050632911,0.8228571428571428,0.8107451075726267
19,0.001,5,120,0.7352941176470589,0.9493670886075949,0.8287292817679558,0.8558568695847868
19,0.001,7,150,0.8314606741573034,0.9367088607594937,0.880952380952381,0.9202095261298575
19,0.001,10,125,0.8191489361702128,0.9746835443037974,0.8901734104046243,0.9303644701906831
